# N	pid	stat 	E 	Px	Py	Pz	Eta	Phi
25 -421 0 12.8524 0.764461 9.71508 8.16939 0.762302 1.49227
29 -421 0 2.64712 0.207645 -1.83842 -0.326589 -0.17562 4.82486
89 -421 0 4.25785 -1.68562 -2.89932 -1.84506 -0.525615 4.18577
6 -421 0 7.66387 1.05661 7.01793 -2.2112 -0.306735 1.42136
2 -421 0 8.74879 2.86761 -5.24899 6.10643 0.896098 5.2124
6 -421 0 2.60845 0.794568 1.07862 1.23757 0.826432 0.935895
9 -421 0 12.7961 -11.2358 5.60294 -1.62119 -0.128768 2.67901
16 -421 0 54.0587 1.39706 1.70658 53.9817 3.89126 0.884798
27 -421 0 13.8934 0.0376726 10.6229 8.75782 0.751624 1.56725
5 -421 0 14.7136 14.1806 -3.44838 0.169913 0.0116425 6.04464
9 -421 0 2.93008 1.91049 1.20409 -0.0887898 -0.0393075 0.562367
63 -421 0 5.56938 1.59436 -0.0238141 -4.99975 -1.86046 6.26825
26 -421 0 26.6099 -7.00948 -0.329038 25.6002 2.00566 3.1885
8 -421 0 2.83637 0.211559 0.362056 -2.09559 -2.31193 1.04198
18 -421 0 19.0174 -1.89724 10.1739 15.8454 1.21187 1.75516
14 -421 0 8.60049 0.578739 -7.27349 4.15358 0.542286 4.79179
5 -421 0 11.7748 -3.42173 10.286 4.20194 0.378522 1.89194
16 -421 0 24.7322 -1.338 2.90536 -24.4535 -2.73144 2.00237
17 -421 0 12.4375 8.51401 -0.918154 8.82511 0.902822 6.17576
20 -421 0 8.51149 2.80691 -0.768065 -7.77809 -1.70956 6.01609
55 -421 0 10.3413 -7.59618 -3.75659 5.62596 0.622828 3.60086
13 -421 0 19.7556 -5.56178 -18.398 4.1699 0.215286 4.41882
52 -421 0 4.57827 2.83604 -0.325191 3.05515 0.930185 6.16902
60 -421 0 7.50476 -1.14091 -7.15574 -0.58092 -0.0800842 4.55428
6 -421 0 3.37806 2.63423 -0.140023 0.987317 0.366045 6.23008
52 -421 0 14.0441 13.1125 1.58973 -4.39242 -0.326702 0.120649
27 -421 0 2.72389 -1.50548 -1.17515 0.542621 0.28043 3.80438
34 -421 0 6.01188 1.59085 0.0934189 5.48866 1.95028 0.0586553
49 -421 0 7.80199 -6.98901 2.65739 1.21882 0.162293 2.77825
42 -421 0 5.23629 1.38504 -4.46651 -1.43977 -0.303217 5.01308
73 -421 0 4.19893 -0.720477 1.95731 -3.13098 -1.19541 1.9235
42 -421 0 8.30641 -7.90906 -1.65492 -0.476155 -0.0588935 3.34786
26 -421 0 12.7329 -9.16591 6.11538 -6.10219 -0.52881 2.55323
7 -421 0 18.3409 -16.8412 4.67587 -5.23632 -0.29528 2.87077
42 -421 0 8.04355 -3.28461 -6.59755 -2.62768 -0.349387 4.25046
41 -421 0 15.3865 9.53708 3.71033 11.3377 0.955657 0.371025
23 -421 0 7.06048 -3.57504 5.78325 0.381737 0.0561163 2.12447
32 -421 0 12.8611 -6.49681 -10.0239 4.38651 0.35943 4.13733
3 -421 0 5.82699 -2.87279 4.51434 1.3579 0.251122 2.13753
8 -421 0 9.68949 -5.70846 2.22661 7.27074 1.00737 2.76969
35 -421 0 2.42233 0.0399251 -1.44144 0.55734 0.377479 4.74008
33 -421 0 5.10757 3.9464 2.33079 -1.26607 -0.272838 0.533487
4 -421 0 14.0821 -5.1423 -7.3347 10.7045 1.01277 4.10093
6 -421 0 4.37812 0.114874 2.7079 2.88864 0.927133 1.5284
24 -421 0 19.7993 1.42112 -17.1217 -9.66249 -0.536323 4.7952
43 -421 0 8.15798 2.7952 6.39937 3.78283 0.518199 1.15898
50 -421 0 3.36338 -1.20008 -2.36195 0.903134 0.334611 4.24229
21 -421 0 7.33969 1.5807 3.23221 6.11942 1.30121 1.11595
67 -421 0 7.37736 -1.68368 -4.66541 -5.13292 -0.905823 4.36605
19 -421 0 17.1563 -1.42185 13.094 10.8345 0.750222 1.67896
32 -421 0 3.87145 -2.08321 -0.94435 2.50578 0.947342 3.5672
